"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Quantity","Description"
"BS6I","MPD (Memory Protection Devices)","BS6I-ND","J1","1","SNAPS 9V 6"" LEADS I-STYLE"
"SJ-3523-SMT-TR","CUI Inc.","CP-3523SJCT-ND","J2","1","CONN JACK STEREO 3.5MM SMD R/A"
"6LF22XWA/B","Panasonic - BSG","P687-ND","","1","BATTERY ALKALINE 9V"
"GRM21BR61E106KA73L","Murata Electronics North America","490-5523-1-ND","C2-C4","3","CAP CER 10UF 25V X5R 0805"
"ERJ-2RKF1002X","Panasonic Electronic Components","P10.0KLCT-ND","R3-R7","5","RES SMD 10K OHM 1% 1/10W 0402"
"150060RS75000","Wurth Electronics Inc.","732-4978-1-ND","D1","1","LED RED CLEAR 0603 SMD"
"ERJ-2RKF1001X","Panasonic Electronic Components","P1.00KLCT-ND","R1, R2","3","RES SMD 1K OHM 1% 1/10W 0402"
"LM358ADR","Texas Instruments","296-14601-1-ND","U1","1","IC OPAMP GP 700KHZ 8SOIC"
"TC33X-2-104E","Bourns Inc.","TC33X-104ECT-ND","RV1","1","TRIMMER 100K OHM 0.1W SMD"
"GRM188R71C474KA88D","Murata Electronics North America","490-3295-1-ND","C1","1","CAP CER 0.47UF 16V X7R 0603"
"ERJ-2RKF1003X","Panasonic Electronic Components","P100KLCT-ND","R8","1","RES SMD 100K OHM 1% 1/10W 0402"
"JS102011SAQN","C&K","401-1999-1-ND","SW1","1","SWITCH SLIDE SPDT 300MA 6V"
"GCM1885C1H681JA16D","Murata Electronics North America","490-4966-1-ND","C5","1","CAP CER 680PF 50V C0G/NP0 0603"
"HMC0402JT100M","Stackpole Electronics Inc.","HMC0402JT100MCT-ND","R9, R10","2","RES 100M OHM 5% 1/16W 0402"
"MMBF4117","ON Semiconductor","MMBF4117CT-ND","Q1","1","JFET N-CH 40V 0.225W SOT23"
